,age,attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework,department
10,42,No,non-travel,2060.71,7,1,other,11,2,F,257.59,1,5,research director,3,unknown,16644.17,43274.83,1,No,22,4.0,2,Full Time,2,,3,3.0,21,5,10,1982,199730.0,No,research & development
11,57,No,travel_rarely,1382.75,23,3,life sciences,12,4,M,172.84,3,4,manufacturing director,2,married,11168.33,29037.67,4,Yes,12,not rated,1,Full Time,1,33.0,0,3.0,19,15,9,1967,134020.0,No,research & development
12,39,No,non-travel,1362.52,10,3,medical,13,2,F,170.32,1,3,research director,3,married,11005.0,28613.0,3,No,12,3.0,1,Full Time,1,,3,3.0,18,1,11,1985,132060.0,Yes,research & development
13,42,Yes,travel_rarely,2016.55,12,3,other,14,2,F,252.07,3,5,research director,3,married,16287.5,42347.5,1,No,12,3.0,4,Full Time,0,,0,3.0,22,15,8,1982,195450.0,No,research & development
14,56,No,non-travel,1973.98,14,4,medical,15,3,M,246.75,4,5,research director,2,single,15943.72,41453.67,8,No,11,3.0,4,Full Time,0,,3,3.0,24,2,15,1968,191324.64,Yes,research & development
15,41,No,travel_rarely,1861.37,2,4,other,16,3,F,232.67,3,5,manager,3,unknown,15034.17,39088.83,0,No,14,3.0,4,Full Time,0,,2,3.0,20,1,12,1983,180410.0,No,general
16,59,Yes,travel_rarely,1985.7,2,4,other,17,4,M,248.21,3,5,research director,2,single,16038.33,41699.67,7,Yes,12,3.0,4,Full Time,0,40.0,2,3.0,31,13,8,1965,192460.0,No,research & development
17,47,No,travel_rarely,1582.77,2,3,other,18,3,F,197.85,3,4,manager,1,unknown,12783.92,33238.2,8,,23,4.0,1,Full Time,0,28.0,2,3.0,26,15,9,1977,153407.04,No,general
18,36,No,non-travel,556.26,13,5,life sciences,19,2,M,69.53,4,2,research scientist,1,married,4492.84,11681.39,1,,11,3.0,4,Full Time,0,,2,3.0,16,1,10,1988,53914.08,No,research & development
19,41,No,travel_rarely,1032.49,15,3,life sciences,20,1,F,129.06,2,3,manufacturing director,3,unknown,8339.32,21682.23,1,,13,3.0,4,Full Time,2,18.0,2,,18,14,12,1983,100071.84,Yes,research & development
20,46,No,non-travel,1108.92,1,1,other,21,3,M,138.62,2,3,healthcare representative,3,unknown,8956.67,23287.33,3,,23,4.0,4,Full Time,1,25.0,3,2.0,23,14,4,1978,107480.0,No,research & development
21,34,No,non-travel,1032.49,1,2,life sciences,22,1,F,129.06,3,3,research director,4,single,8339.32,21682.23,1,Yes,12,3.0,3,Part Time,0,15.0,1,3.0,15,8,12,1990,100071.84,Yes,research & development
22,37,No,non-travel,1032.49,8,3,other,23,3,F,129.06,3,3,healthcare representative,3,divorced,8339.32,21682.23,1,,13,not rated,2,Full Time,3,17.0,2,3.0,17,12,8,1987,100071.84,Yes,research & development
23,48,No,non-travel,1728.38,2,2,other,24,3,F,216.05,3,4,manager,4,married,13960.0,36296.0,1,,11,3.0,3,Full Time,1,,3,2.0,26,3,0,1976,167520.0,No,general
24,37,No,travel_rarely,639.79,42,2,life sciences,25,4,M,79.97,3,2,sales executive,4,unknown,5167.5,13435.5,1,,14,3.0,4,Full Time,1,18.0,1,,18,4,11,1987,62010.0,Yes,sales
25,36,No,non-travel,1032.49,9,3,life sciences,26,4,F,129.06,2,3,manufacturing director,3,married,8339.32,21682.23,1,Yes,20,4.0,2,Part Time,1,17.0,2,3.0,17,5,15,1988,100071.84,No,research & development
26,53,Yes,non-travel,2047.5,2,1,other,27,1,F,255.94,1,5,manager,4,married,16537.5,42997.5,1,No,15,3.0,4,Full Time,1,33.0,3,3.0,32,6,9,1971,198450.0,Yes,general
27,37,No,non-travel,556.26,2,4,life sciences,28,3,F,69.53,3,2,manufacturing director,2,single,4492.84,11681.39,9,Yes,11,3.0,4,Full Time,0,18.0,2,3.0,16,5,12,1987,53914.11,No,research & development
28,34,No,travel_rarely,556.26,28,4,life sciences,29,2,M,69.53,3,2,laboratory technician,3,married,4492.84,11681.39,1,,12,3.0,2,Part Time,1,15.0,3,3.0,15,5,7,1990,53914.11,Yes,research & development
29,35,No,non-travel,412.8,10,3,life sciences,30,4,M,51.6,3,2,sales executive,3,unknown,3334.17,8668.83,1,Yes,14,3.0,3,Part Time,1,15.0,3,3.0,15,0,7,1989,40010.0,Yes,sales
30,42,No,non-travel,1077.87,37,1,other,31,3,F,134.73,3,3,sales executive,3,divorced,8705.83,22635.17,0,,13,3.0,4,Full Time,1,,3,4.0,22,13,5,1982,104470.0,Yes,sales
31,48,No,non-travel,1032.49,25,3,medical,32,1,M,129.06,3,3,healthcare representative,3,unknown,8339.32,21682.23,2,,23,4.0,2,Full Time,0,25.0,3,3.0,17,12,11,1976,100071.84,Yes,research & development
32,54,No,travel_rarely,1973.98,5,3,other,33,3,F,246.75,3,5,manager,3,unknown,15943.72,41453.67,4,,11,3.0,4,Full Time,1,26.0,3,2.0,14,4,8,1970,191324.62,Yes,general
33,36,No,non-travel,556.26,1,4,marketing,34,3,M,69.53,2,2,sales executive,1,single,4492.84,11681.39,0,No,14,not rated,2,Part Time,0,16.0,2,3.0,15,2,8,1988,53914.11,No,sales
34,35,No,travel_rarely,556.26,6,4,other,35,1,F,69.53,3,2,research scientist,3,single,4492.84,11681.39,1,,14,3.0,3,Full Time,0,16.0,3,3.0,16,2,10,1989,53914.08,Yes,research & development
35,47,No,travel_rarely,1032.49,1,2,other,36,2,F,129.06,3,3,sales executive,1,divorced,8339.32,21682.23,1,No,25,4.0,3,Part Time,3,24.0,2,3.0,24,15,7,1977,100071.84,Yes,sales
36,44,No,non-travel,1657.4,16,3,other,37,4,F,207.18,3,4,manager,4,married,13386.67,34805.33,5,,22,4.0,3,Full Time,1,22.0,3,3.0,17,1,9,1980,160640.0,Yes,general
37,37,No,non-travel,331.19,6,3,life sciences,38,4,M,41.4,3,1,laboratory technician,4,married,2675.0,6955.0,0,,11,3.0,3,Full Time,1,16.0,4,3.0,15,10,11,1987,32100.0,Yes,research & development
38,61,No,travel_frequently,1059.19,28,3,other,39,3,F,132.4,2,3,sales executive,1,married,8555.0,22243.0,4,No,19,3.0,4,Full Time,0,22.0,5,4.0,18,13,11,1963,102660.0,Yes,sales
39,41,No,travel_frequently,1080.75,5,4,other,40,4,M,135.09,2,3,sales executive,1,married,8729.17,22695.83,5,Yes,21,4.0,3,Full Time,1,20.0,2,3.0,18,1,12,1983,104750.0,No,sales
40,33,No,travel_rarely,635.76,4,3,other,41,3,F,79.47,2,2,manufacturing director,3,married,5135.0,13351.0,1,No,12,3.0,3,Full Time,1,14.0,3,3.0,14,6,8,1991,61620.0,No,research & development
41,42,No,travel_rarely,487.09,35,3,other,42,3,M,60.89,3,1,laboratory technician,1,single,3934.17,10228.83,2,Yes,13,not rated,3,Full Time,0,20.0,3,3.0,18,2,17,1982,47210.0,Yes,research & development
42,54,No,non-travel,1582.77,2,2,medical,43,3,M,197.85,3,4,manager,3,divorced,12783.92,33238.2,6,No,13,3.0,3,Full Time,1,22.0,3,4.0,17,15,2,1970,153407.07,No,general
43,37,Yes,travel_rarely,290.04,16,4,other,44,3,F,36.26,4,1,laboratory technician,1,single,2342.59,6090.75,1,,16,3.0,3,Part Time,0,18.0,1,3.0,17,15,14,1987,28111.13,Yes,research & development
44,47,No,non-travel,476.15,8,4,life sciences,45,4,F,59.52,2,2,research scientist,1,divorced,3845.83,9999.17,8,Yes,23,4.0,1,Part Time,3,,2,3.0,16,1,7,1977,46150.0,No,research & development
45,39,No,travel_rarely,556.26,1,4,other,46,4,M,69.53,3,2,sales executive,2,married,4492.84,11681.39,0,No,15,3.0,1,Full Time,2,16.0,3,,15,5,8,1985,53914.11,Yes,sales
46,52,No,non-travel,1032.49,1,4,other,47,1,F,129.06,2,3,healthcare representative,1,single,8339.32,21682.23,3,,20,4.0,3,Part Time,0,23.0,1,2.0,13,12,8,1972,100071.84,Yes,research & development
47,44,No,non-travel,1749.74,26,2,other,48,3,M,218.72,3,4,manager,4,married,14132.5,36744.5,1,Yes,12,3.0,4,Full Time,2,25.0,3,4.0,25,4,12,1980,169590.0,Yes,general
48,38,No,non-travel,290.04,1,3,life sciences,49,4,F,36.26,3,1,research scientist,4,single,2342.59,6090.75,1,No,12,3.0,2,Part Time,0,,3,3.0,17,5,7,1986,28111.13,Yes,research & development
49,33,No,travel_rarely,556.26,8,2,technical degree,50,3,F,69.53,2,2,sales executive,2,married,4492.84,11681.39,1,Yes,11,3.0,4,Part Time,0,,2,3.0,13,11,9,1991,53914.11,Yes,sales
50,39,No,non-travel,1032.49,1,3,other,51,4,F,129.06,3,3,research director,1,married,8339.32,21682.23,1,,13,3.0,2,Part Time,1,15.0,3,3.0,15,5,11,1985,100071.84,No,research & development
51,47,No,non-travel,1582.77,3,3,life sciences,52,3,F,197.85,3,4,manager,2,unknown,12783.92,33238.2,8,No,12,3.0,4,Full Time,1,23.0,2,4.0,13,5,1,1977,153407.07,Yes,general
52,36,Yes,travel_rarely,1063.32,10,3,medical,53,4,M,132.92,2,3,sales executive,1,married,8588.33,22329.67,9,,17,3.0,3,Full Time,0,15.0,3,,13,6,0,1988,103059.96,No,sales
53,44,No,non-travel,1973.98,6,3,medical,54,1,F,246.75,2,5,manager,3,married,15943.72,41453.67,7,No,13,3.0,4,Full Time,0,21.0,2,3.0,16,6,14,1980,191324.64,Yes,general
54,57,No,non-travel,556.26,1,4,life sciences,55,3,M,69.53,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,No,21,not rated,1,Full Time,1,,2,2.0,13,1,9,1967,53914.08,Yes,research & development
55,37,No,non-travel,557.76,15,4,marketing,56,4,M,69.72,1,2,sales executive,4,divorced,4505.0,11713.0,1,No,24,4.0,1,Full Time,1,,4,2.0,15,11,11,1987,54060.0,Yes,sales
56,39,No,non-travel,556.26,6,3,medical,57,2,F,69.53,1,2,research scientist,4,unknown,4492.84,11681.39,7,,12,3.0,4,Part Time,3,17.0,3,3.0,13,1,9,1985,53914.11,Yes,research & development
57,50,No,non-travel,556.26,26,4,medical,58,3,F,69.53,3,2,manufacturing director,1,unknown,4492.84,11681.39,1,No,14,3.0,3,Part Time,0,16.0,2,2.0,15,5,11,1974,53914.11,No,research & development
58,40,No,travel_rarely,608.94,4,4,life sciences,59,4,F,76.12,2,2,sales executive,3,married,4918.33,12787.67,4,,14,3.0,3,Full Time,1,17.0,1,4.0,15,5,9,1984,59020.0,Yes,sales
59,41,No,non-travel,1119.96,4,4,other,60,3,M,140.0,2,3,sales executive,4,married,9045.83,23519.17,7,No,11,not rated,1,Full Time,1,15.0,2,2.0,12,2,11,1983,108550.0,Yes,sales
60,37,No,non-travel,610.17,5,2,other,61,4,M,76.27,3,2,laboratory technician,2,single,4928.33,12813.67,8,No,16,3.0,4,Full Time,0,16.0,3,4.0,13,3,7,1987,59140.0,Yes,research & development
61,38,No,non-travel,556.26,25,5,other,62,2,F,69.53,3,2,research scientist,3,married,4492.84,11681.39,3,Yes,15,3.0,1,Full Time,2,15.0,2,3.0,13,10,7,1986,53914.11,No,research & development
62,36,No,non-travel,685.7,6,4,other,63,2,M,85.71,1,2,research scientist,4,unknown,5538.33,14399.67,1,,13,3.0,2,Full Time,0,,3,3.0,17,11,8,1988,66460.0,Yes,research & development
63,34,No,travel_frequently,556.26,6,3,life sciences,64,3,M,69.53,3,2,healthcare representative,4,divorced,4492.84,11681.39,3,No,23,4.0,3,Part Time,1,15.0,2,1.0,13,4,7,1990,53914.11,No,research & development
64,51,No,travel_rarely,1441.66,24,3,other,65,4,M,180.21,3,4,manufacturing director,3,married,11644.17,30274.83,3,Yes,18,3.0,4,Full Time,1,22.0,2,3.0,12,1,5,1973,139730.0,No,research & development
65,49,No,travel_rarely,1032.49,4,4,other,66,3,M,129.06,2,3,healthcare representative,3,single,8339.32,21682.23,7,,14,not rated,2,Part Time,0,27.0,3,3.0,15,4,8,1975,100071.84,Yes,research & development
66,45,No,travel_rarely,1374.29,28,3,other,67,4,F,171.79,4,4,sales executive,4,married,11100.0,28860.0,3,,18,3.0,3,Full Time,1,,2,3.0,12,11,11,1979,133200.0,Yes,sales
67,45,No,travel_rarely,556.26,29,4,other,68,4,M,69.53,3,2,research scientist,4,single,4492.84,11681.39,1,,25,4.0,2,Part Time,0,,3,3.0,20,13,17,1979,53914.11,Yes,research & development
68,41,No,non-travel,556.26,25,1,other,69,2,F,69.53,4,2,healthcare representative,3,unknown,4492.84,11681.39,5,No,20,4.0,2,Part Time,3,15.0,0,3.0,12,11,8,1983,53914.11,Yes,research & development
69,35,No,travel_rarely,689.93,2,4,other,70,3,F,86.24,3,2,healthcare representative,4,single,5572.5,14488.5,1,,11,3.0,4,Full Time,0,14.0,2,4.0,14,4,11,1989,66870.0,Yes,research & development
70,36,No,non-travel,556.26,8,4,other,71,3,F,69.53,3,2,healthcare representative,3,unknown,4492.84,11681.39,1,,12,3.0,4,Part Time,1,,5,3.0,14,2,9,1988,53914.11,Yes,research & development
71,51,No,non-travel,1032.49,17,5,life sciences,72,4,F,129.06,2,3,research director,1,unknown,8339.32,21682.23,5,No,15,3.0,3,Part Time,3,,3,3.0,14,1,11,1973,100071.84,No,research & development
72,50,No,non-travel,1582.77,6,1,life sciences,73,3,F,197.85,2,4,healthcare representative,3,unknown,12783.92,33238.2,2,,19,3.0,2,Full Time,1,,3,3.0,15,2,12,1974,153407.07,Yes,research & development
73,39,No,travel_frequently,488.53,1,3,life sciences,74,4,M,61.07,3,2,research scientist,4,unknown,3945.83,10259.17,7,No,15,3.0,4,Part Time,2,19.0,4,,13,2,9,1985,47350.0,Yes,research & development
74,34,No,non-travel,290.04,21,3,other,75,2,M,36.26,4,1,laboratory technician,2,unknown,2342.59,6090.75,1,No,18,3.0,4,Part Time,3,14.0,6,,14,2,13,1990,28111.13,Yes,research & development
75,48,No,travel_rarely,1032.49,4,3,life sciences,76,3,F,129.06,2,3,manufacturing director,2,divorced,8339.32,21682.23,8,Yes,12,not rated,3,Part Time,1,,4,3.0,22,14,10,1976,100071.84,Yes,research & development
76,39,No,non-travel,556.26,8,3,other,77,4,F,69.53,2,2,research scientist,2,divorced,4492.84,11681.39,1,,16,3.0,3,Full Time,1,20.0,3,3.0,20,0,7,1985,53914.08,No,research & development
77,38,No,travel_rarely,1032.49,10,3,life sciences,78,3,F,129.06,4,3,research director,4,unknown,8339.32,21682.23,1,Yes,25,4.0,1,Part Time,1,16.0,2,3.0,16,6,8,1986,100071.84,Yes,research & development
78,31,No,non-travel,556.26,2,3,other,79,3,M,69.53,2,2,healthcare representative,4,married,4492.84,11681.39,1,No,19,not rated,1,Part Time,3,11.0,3,3.0,11,10,8,1993,53914.11,Yes,research & development
79,59,No,travel_rarely,1431.24,18,4,other,80,4,M,178.9,3,4,sales executive,3,single,11560.0,30056.0,0,,13,3.0,3,Full Time,0,38.0,1,2.0,37,1,8,1965,138720.0,Yes,sales
80,35,No,travel_rarely,1032.49,5,3,other,81,3,F,129.06,2,3,manager,1,single,8339.32,21682.23,2,,12,3.0,4,Full Time,0,14.0,6,3.0,11,5,8,1989,100071.84,No,general
81,59,Yes,travel_rarely,1032.49,23,4,medical,82,4,F,129.06,3,3,healthcare representative,4,married,8339.32,21682.23,1,,12,3.0,4,Part Time,1,40.0,3,2.0,40,15,6,1965,100071.84,Yes,research & development
82,39,No,non-travel,1032.49,3,3,life sciences,83,1,M,129.06,3,3,sales executive,3,divorced,8339.32,21682.23,0,,12,3.0,3,Full Time,2,,6,2.0,16,5,13,1985,100071.84,Yes,sales
83,30,No,travel_frequently,1032.49,1,1,other,84,2,F,129.06,3,3,sales executive,4,married,8339.32,21682.23,1,,14,3.0,4,Part Time,1,11.0,5,3.0,11,4,1,1994,100071.84,Yes,sales
84,56,No,travel_rarely,1964.96,1,3,medical,85,4,M,245.62,3,5,manager,1,single,15870.83,41264.17,0,,14,3.0,3,Full Time,0,37.0,2,3.0,36,4,13,1968,190450.0,Yes,general
85,42,No,non-travel,1652.34,10,4,other,86,4,M,206.54,3,4,manager,2,unknown,13345.83,34699.17,1,,19,3.0,2,Full Time,0,,2,3.0,22,0,4,1982,160149.96,Yes,general
86,40,No,travel_rarely,991.82,1,3,other,87,3,M,123.98,4,3,healthcare representative,4,unknown,8010.83,20828.17,0,No,17,not rated,1,Part Time,3,19.0,5,2.0,18,3,7,1984,96130.0,No,research & development
87,39,No,non-travel,1187.54,15,2,life sciences,88,3,M,148.44,2,3,research director,4,unknown,9591.67,24938.33,0,,14,3.0,2,Full Time,1,,3,3.0,11,2,9,1985,115100.0,Yes,research & development
88,44,No,non-travel,1582.77,12,3,other,89,1,M,197.85,2,4,research director,2,unknown,12783.92,33238.2,1,No,11,3.0,3,Full Time,1,,3,,25,3,9,1980,153407.07,Yes,research & development
89,32,No,non-travel,444.27,30,2,other,90,2,F,55.53,3,2,manufacturing director,1,married,3588.33,9329.67,1,No,12,3.0,2,Full Time,1,13.0,5,1.0,13,3,12,1992,43059.96,Yes,research & development
90,51,No,travel_rarely,1758.71,27,4,life sciences,91,2,M,219.84,2,4,manager,3,unknown,14205.0,36933.0,0,No,15,3.0,2,Full Time,1,28.0,2,3.0,27,15,7,1973,170460.0,Yes,research & development
91,36,No,non-travel,1032.49,25,3,technical degree,92,4,M,129.06,2,3,manufacturing director,2,married,8339.32,21682.23,3,No,16,not rated,1,Part Time,0,,2,3.0,13,4,8,1988,100071.84,No,research & development
92,48,No,non-travel,522.79,16,4,other,93,3,M,65.35,4,2,manufacturing director,3,unknown,4222.5,10978.5,1,Yes,19,3.0,3,Full Time,0,20.0,3,,19,2,7,1976,50670.0,Yes,research & development
93,36,No,non-travel,1032.49,25,4,other,94,3,F,129.06,3,3,healthcare representative,3,divorced,8339.32,21682.23,1,Yes,11,not rated,3,Part Time,1,,3,2.0,16,10,1,1988,100071.84,Yes,research & development
94,41,No,travel_rarely,1032.49,20,4,other,95,1,M,129.06,3,3,healthcare representative,4,married,8339.32,21682.23,4,,20,4.0,4,Part Time,1,14.0,6,3.0,11,11,1,1983,100071.84,Yes,research & development
95,46,No,non-travel,556.26,9,4,life sciences,96,2,F,69.53,2,2,sales executive,3,married,4492.84,11681.39,1,,13,3.0,4,Part Time,1,15.0,2,3.0,15,4,12,1978,53914.11,No,sales
96,34,No,non-travel,290.04,9,3,medical,97,1,M,36.26,3,1,research scientist,4,married,2342.59,6090.75,0,,13,3.0,2,Full Time,1,15.0,5,3.0,14,4,10,1990,28111.13,No,research & development
97,37,No,travel_frequently,380.92,3,3,other,98,3,M,47.62,3,1,research scientist,2,married,3076.67,7999.33,1,No,12,3.0,3,Full Time,0,12.0,2,2.0,11,0,7,1987,36920.0,No,research & development
98,46,Yes,non-travel,1973.98,13,3,marketing,99,1,F,246.75,1,5,manager,2,unknown,15943.72,41453.67,2,Yes,16,3.0,1,Full Time,0,26.0,2,3.0,24,1,11,1978,191324.62,Yes,general
99,52,No,travel_frequently,2047.71,27,3,other,100,2,M,255.96,3,5,manager,2,unknown,16539.17,43001.83,4,Yes,24,not rated,1,Full Time,1,,5,2.0,29,11,10,1972,198470.0,No,general
100,35,No,travel_rarely,238.13,7,2,technical degree,101,2,M,29.77,3,1,sales representative,3,unknown,1923.33,5000.67,0,Yes,25,4.0,2,Part Time,1,12.0,4,3.0,11,5,7,1989,23080.0,No,sales
101,44,No,travel_rarely,1582.77,15,2,other,102,3,M,197.85,2,4,research director,3,unknown,12783.92,33238.2,1,No,24,4.0,1,Full Time,1,,3,3.0,14,6,11,1980,153407.07,Yes,research & development
102,35,No,non-travel,556.26,5,2,medical,103,2,M,69.53,2,2,laboratory technician,4,unknown,4492.84,11681.39,1,No,14,3.0,3,Part Time,1,,3,,15,4,13,1989,53914.11,No,research & development
103,39,No,non-travel,290.04,2,3,other,104,1,M,36.26,3,1,human resources,2,divorced,2342.59,6090.75,5,No,13,3.0,4,Part Time,3,13.0,3,3.0,11,3,8,1985,28111.13,Yes,human resources
104,49,No,non-travel,1973.98,10,3,other,105,4,M,246.75,2,5,research director,2,unknown,15943.72,41453.67,4,No,12,3.0,4,Full Time,0,29.0,3,3.0,22,12,9,1975,191324.62,No,research & development
105,35,No,non-travel,592.94,22,4,other,106,3,M,74.12,2,2,research scientist,4,married,4789.17,12451.83,1,Yes,15,3.0,2,Full Time,0,16.0,3,3.0,15,6,11,1989,57470.0,No,research & development
106,33,No,travel_rarely,1075.29,31,4,other,107,3,F,134.41,3,3,sales executive,4,unknown,8685.0,22581.0,1,No,19,3.0,3,Full Time,2,14.0,3,3.0,14,5,7,1991,104220.0,Yes,sales
107,30,No,travel_rarely,1032.49,21,4,life sciences,108,2,F,129.06,4,3,manufacturing director,1,divorced,8339.32,21682.23,1,No,11,3.0,3,Full Time,1,10.0,1,3.0,10,8,8,1994,100071.84,No,research & development
108,47,No,non-travel,1032.49,1,3,medical,109,3,M,129.06,2,3,healthcare representative,1,married,8339.32,21682.23,2,Yes,13,3.0,3,Full Time,1,21.0,5,2.0,10,9,5,1977,100071.84,No,research & development
109,31,No,non-travel,654.85,9,3,other,110,3,M,81.86,3,2,human resources,4,married,5289.17,13751.83,0,Yes,19,3.0,4,Full Time,0,,2,1.0,11,4,7,1993,63470.0,No,human resources
110,46,No,non-travel,242.25,9,3,life sciences,111,2,M,30.28,3,2,laboratory technician,2,unknown,1956.67,5087.33,8,No,18,3.0,3,Part Time,1,20.0,2,,17,0,15,1978,23480.0,Yes,research & development
111,31,No,travel_rarely,1032.49,5,3,other,112,2,F,129.06,3,3,sales executive,4,unknown,8339.32,21682.23,2,No,12,3.0,3,Part Time,1,,2,3.0,10,7,4,1993,100071.84,Yes,sales
112,31,No,non-travel,316.95,9,3,other,113,3,M,39.62,3,2,laboratory technician,1,unknown,2560.0,6656.0,1,No,11,not rated,3,Part Time,2,12.0,4,3.0,12,6,10,1993,30720.0,Yes,research & development
113,35,No,travel_frequently,556.26,29,1,other,114,4,M,69.53,2,2,manufacturing director,3,married,4492.84,11681.39,1,,17,3.0,3,Full Time,0,10.0,2,2.0,10,1,9,1989,53914.08,No,research & development
114,52,No,travel_rarely,1288.65,8,4,life sciences,115,2,M,161.08,2,3,research director,2,married,10408.33,27061.67,5,No,16,3.0,4,Full Time,2,16.0,5,1.0,10,4,7,1972,124900.0,No,research & development
115,35,No,non-travel,556.26,39,4,life sciences,116,3,M,69.53,2,2,manufacturing director,1,unknown,4492.84,11681.39,6,,13,3.0,2,Part Time,1,13.0,3,3.0,11,5,9,1989,53914.11,Yes,research & development
116,36,No,travel_rarely,827.46,16,3,other,117,3,M,103.43,3,3,sales executive,2,married,6683.33,17376.67,0,,15,3.0,3,Part Time,2,12.0,3,2.0,11,6,9,1988,80200.0,Yes,sales
117,46,No,travel_frequently,1032.49,7,3,life sciences,118,1,M,129.06,3,3,laboratory technician,1,unknown,8339.32,21682.23,1,,18,3.0,1,Part Time,1,24.0,2,3.0,24,9,11,1978,100071.84,Yes,research & development
118,40,No,non-travel,1760.98,10,1,other,119,3,M,220.12,3,4,manager,1,married,14223.33,36980.67,1,,14,not rated,4,Full Time,0,21.0,3,3.0,21,11,10,1984,170680.0,Yes,general
119,32,No,non-travel,922.69,7,2,other,120,3,F,115.34,2,3,manufacturing director,3,married,7452.5,19376.5,1,No,24,4.0,1,Part Time,1,10.0,2,3.0,10,8,9,1992,89430.0,No,research & development
120,40,No,non-travel,1988.38,7,2,other,121,3,M,248.55,2,5,manager,4,married,16060.0,41756.0,1,,15,3.0,1,Full Time,1,,2,3.0,21,13,3,1984,192720.0,Yes,research & development
121,46,No,travel_rarely,556.26,8,4,other,122,4,M,69.53,3,2,research scientist,4,unknown,4492.84,11681.39,9,No,14,3.0,1,Part Time,2,12.0,3,3.0,10,9,8,1978,53914.11,Yes,research & development
122,31,No,travel_rarely,556.26,5,3,marketing,123,4,F,69.53,2,2,sales executive,3,unknown,4492.84,11681.39,1,,13,3.0,3,Full Time,3,10.0,2,3.0,10,1,2,1993,53914.08,Yes,sales
123,32,No,non-travel,1032.49,7,4,medical,124,3,F,129.06,3,3,manufacturing director,4,unknown,8339.32,21682.23,1,,14,3.0,3,Part Time,0,11.0,2,2.0,11,4,10,1992,100071.84,No,research & development
124,37,No,non-travel,1032.49,3,4,medical,125,1,M,129.06,2,3,sales executive,4,married,8339.32,21682.23,4,No,11,3.0,1,Part Time,1,16.0,2,3.0,13,1,12,1987,100071.84,Yes,sales
125,37,No,travel_rarely,1032.49,2,2,other,126,2,M,129.06,2,3,sales executive,3,married,8339.32,21682.23,1,,13,3.0,2,Part Time,2,10.0,2,3.0,10,9,0,1987,100071.84,Yes,sales
126,56,No,travel_rarely,1582.77,18,5,other,127,1,F,197.85,3,4,manager,2,single,12783.92,33238.2,3,No,23,4.0,4,Full Time,0,37.0,2,3.0,10,7,7,1968,153407.07,Yes,general
