,employee_number,attrition,job_level,job_role,department,monthly_income,salary,percent_salary_hike,training_times_last_year,stock_option_level,hourly_rate,daily_rate,monthly_rate,standard_hours,overtime,business_travel,distance_from_home,remote_work,environment_satisfaction,job_involvement,job_satisfaction,performance_rating,relationship_satisfaction,work_life_balance,date_birth,age,gender,marital_status,education,education_field,num_companies_worked,total_working_years,years_at_company,years_since_last_promotion,years_with_curr_manager
20,21,No,3,healthcare representative,research & development,8956.67,107480.0,23,3,1,138.615,1108.92,23287.33,Full Time,,non-travel,1,No,3,2,3,4.0,4,2.0,1978,47,M,nan,1,other,3,25.0,23,14,4
21,22,No,3,research director,research & development,8339.32,100071.84,12,1,0,129.06125,1032.49,21682.23,Part Time,Yes,non-travel,1,Yes,1,3,4,3.0,3,3.0,1990,35,F,single,2,life sciences,1,15.0,15,8,12
22,23,No,3,healthcare representative,research & development,8339.32,100071.84,13,2,3,129.06125,1032.49,21682.23,Full Time,,non-travel,8,Yes,3,3,3,not rated,2,3.0,1987,38,F,divorced,3,other,1,17.0,17,12,8
23,24,No,4,manager,general,13960.0,167520.0,11,3,1,216.0475,1728.38,36296.0,Full Time,,non-travel,2,No,3,3,4,3.0,3,2.0,1976,49,F,married,2,other,1,,26,3,0
24,25,No,2,sales executive,sales,5167.5,62010.0,14,1,1,79.97375,639.79,13435.5,Full Time,,travel_rarely,42,Yes,4,3,4,3.0,4,,1987,38,M,nan,2,life sciences,1,18.0,18,4,11
25,26,No,3,manufacturing director,research & development,8339.32,100071.84,20,2,1,129.06125,1032.49,21682.23,Part Time,Yes,non-travel,9,No,4,2,3,4.0,2,3.0,1988,37,F,married,3,life sciences,1,17.0,17,5,15
26,27,Yes,5,manager,general,16537.5,198450.0,15,3,1,255.9375,2047.5,42997.5,Full Time,No,non-travel,2,Yes,1,1,4,3.0,4,3.0,1971,54,F,married,1,other,1,33.0,32,6,9
27,28,No,2,manufacturing director,research & development,4492.84,53914.11,11,2,0,69.5325,556.26,11681.39,Full Time,Yes,non-travel,2,No,3,3,2,3.0,4,3.0,1987,38,F,single,4,life sciences,9,18.0,16,5,12
28,29,No,2,laboratory technician,research & development,4492.84,53914.11,12,3,1,69.5325,556.26,11681.39,Part Time,,travel_rarely,28,Yes,2,3,3,3.0,2,3.0,1990,35,M,married,4,life sciences,1,15.0,15,5,7
29,30,No,2,sales executive,sales,3334.17,40010.0,14,3,1,51.6,412.8,8668.83,Part Time,Yes,non-travel,10,Yes,4,3,3,3.0,3,3.0,1989,36,M,nan,3,life sciences,1,15.0,15,0,7
30,31,No,3,sales executive,sales,8705.83,104470.0,13,3,1,134.73375,1077.87,22635.17,Full Time,,non-travel,37,Yes,3,3,3,3.0,4,4.0,1982,43,F,divorced,1,other,0,,22,13,5
31,32,No,3,healthcare representative,research & development,8339.32,100071.84,23,3,0,129.06125,1032.49,21682.23,Full Time,,non-travel,25,Yes,1,3,3,4.0,2,3.0,1976,49,M,nan,3,medical,2,25.0,17,12,11
32,33,No,5,manager,general,15943.72,191324.62,11,3,1,246.7475,1973.98,41453.67,Full Time,,travel_rarely,5,Yes,3,3,3,3.0,4,2.0,1970,55,F,nan,3,other,4,26.0,14,4,8
33,34,No,2,sales executive,sales,4492.84,53914.11,14,2,0,69.5325,556.26,11681.39,Part Time,No,non-travel,1,No,3,2,1,not rated,2,3.0,1988,37,M,single,4,marketing,0,16.0,15,2,8
34,35,No,2,research scientist,research & development,4492.84,53914.08,14,3,0,69.5325,556.26,11681.39,Full Time,,travel_rarely,6,Yes,1,3,3,3.0,3,3.0,1989,36,F,single,4,other,1,16.0,16,2,10
35,36,No,3,sales executive,sales,8339.32,100071.84,25,2,3,129.06125,1032.49,21682.23,Part Time,No,travel_rarely,1,Yes,2,3,1,4.0,3,3.0,1977,48,F,divorced,2,other,1,24.0,24,15,7
36,37,No,4,manager,general,13386.67,160640.0,22,3,1,207.175,1657.4,34805.33,Full Time,,non-travel,16,Yes,4,3,4,4.0,3,3.0,1980,45,F,married,3,other,5,22.0,17,1,9
37,38,No,1,laboratory technician,research & development,2675.0,32100.0,11,4,1,41.39875,331.19,6955.0,Full Time,,non-travel,6,Yes,4,3,4,3.0,3,3.0,1987,38,M,married,3,life sciences,0,16.0,15,10,11
38,39,No,3,sales executive,sales,8555.0,102660.0,19,5,0,132.39875,1059.19,22243.0,Full Time,No,travel_frequently,28,Yes,3,2,1,3.0,4,4.0,1963,62,F,married,3,other,4,22.0,18,13,11
39,40,No,3,sales executive,sales,8729.17,104750.0,21,2,1,135.09375,1080.75,22695.83,Full Time,Yes,travel_frequently,5,No,4,2,1,4.0,3,3.0,1983,42,M,married,4,other,5,20.0,18,1,12
40,41,No,2,manufacturing director,research & development,5135.0,61620.0,12,3,1,79.47,635.76,13351.0,Full Time,No,travel_rarely,4,No,3,2,3,3.0,3,3.0,1991,34,F,married,3,other,1,14.0,14,6,8
41,42,No,1,laboratory technician,research & development,3934.17,47210.0,13,3,0,60.88625,487.09,10228.83,Full Time,Yes,travel_rarely,35,Yes,3,3,1,not rated,3,3.0,1982,43,M,single,3,other,2,20.0,18,2,17
42,43,No,4,manager,general,12783.92,153407.07,13,3,1,197.84625,1582.77,33238.2,Full Time,No,non-travel,2,No,3,3,3,3.0,3,4.0,1970,55,M,divorced,2,medical,6,22.0,17,15,2
43,44,Yes,1,laboratory technician,research & development,2342.59,28111.13,16,1,0,36.255,290.04,6090.75,Part Time,,travel_rarely,16,Yes,3,4,1,3.0,3,3.0,1987,38,F,single,4,other,1,18.0,17,15,14
44,45,No,2,research scientist,research & development,3845.83,46150.0,23,2,3,59.51875,476.15,9999.17,Part Time,Yes,non-travel,8,No,4,2,1,4.0,1,3.0,1977,48,F,divorced,4,life sciences,8,,16,1,7
45,46,No,2,sales executive,sales,4492.84,53914.11,15,3,2,69.5325,556.26,11681.39,Full Time,No,travel_rarely,1,Yes,4,3,2,3.0,1,,1985,40,M,married,4,other,0,16.0,15,5,8
46,47,No,3,healthcare representative,research & development,8339.32,100071.84,20,1,0,129.06125,1032.49,21682.23,Part Time,,non-travel,1,Yes,1,2,1,4.0,3,2.0,1972,53,F,single,4,other,3,23.0,13,12,8
47,48,No,4,manager,general,14132.5,169590.0,12,3,2,218.7175,1749.74,36744.5,Full Time,Yes,non-travel,26,Yes,3,3,4,3.0,4,4.0,1980,45,M,married,2,other,1,25.0,25,4,12
48,49,No,1,research scientist,research & development,2342.59,28111.13,12,3,0,36.255,290.04,6090.75,Part Time,No,non-travel,1,Yes,4,3,4,3.0,2,3.0,1986,39,F,single,3,life sciences,1,,17,5,7
49,50,No,2,sales executive,sales,4492.84,53914.11,11,2,0,69.5325,556.26,11681.39,Part Time,Yes,travel_rarely,8,Yes,3,2,2,3.0,4,3.0,1991,34,F,married,2,technical degree,1,,13,11,9
50,51,No,3,research director,research & development,8339.32,100071.84,13,3,1,129.06125,1032.49,21682.23,Part Time,,non-travel,1,No,4,3,1,3.0,2,3.0,1985,40,F,married,3,other,1,15.0,15,5,11
51,52,No,4,manager,general,12783.92,153407.07,12,2,1,197.84625,1582.77,33238.2,Full Time,No,non-travel,3,Yes,3,3,2,3.0,4,4.0,1977,48,F,nan,3,life sciences,8,23.0,13,5,1
52,53,Yes,3,sales executive,sales,8588.33,103059.95999999999,17,3,0,132.915,1063.32,22329.67,Full Time,,travel_rarely,10,No,4,2,1,3.0,3,,1988,37,M,married,3,medical,9,15.0,13,6,0
53,54,No,5,manager,general,15943.72,191324.63999999998,13,2,0,246.7475,1973.98,41453.67,Full Time,No,non-travel,6,Yes,1,2,3,3.0,4,3.0,1980,45,F,married,3,medical,7,21.0,16,6,14
54,55,No,2,healthcare representative,research & development,4492.84,53914.08,21,2,1,69.5325,556.26,11681.39,Full Time,No,non-travel,1,Yes,3,3,3,not rated,1,2.0,1967,58,M,divorced,4,life sciences,1,,13,1,9
55,56,No,2,sales executive,sales,4505.0,54060.0,24,4,1,69.72,557.76,11713.0,Full Time,No,non-travel,15,Yes,4,1,4,4.0,1,2.0,1987,38,M,divorced,4,marketing,1,,15,11,11
56,57,No,2,research scientist,research & development,4492.84,53914.11,12,3,3,69.5325,556.26,11681.39,Part Time,,non-travel,6,Yes,2,1,4,3.0,4,3.0,1985,40,F,nan,3,medical,7,17.0,13,1,9
57,58,No,2,manufacturing director,research & development,4492.84,53914.11,14,2,0,69.5325,556.26,11681.39,Part Time,No,non-travel,26,No,3,3,1,3.0,3,2.0,1974,51,F,nan,4,medical,1,16.0,15,5,11
58,59,No,2,sales executive,sales,4918.33,59020.0,14,1,1,76.1175,608.94,12787.67,Full Time,,travel_rarely,4,Yes,4,2,3,3.0,3,4.0,1984,41,F,married,4,life sciences,4,17.0,15,5,9
59,60,No,3,sales executive,sales,9045.83,108550.0,11,2,1,139.995,1119.96,23519.17,Full Time,No,non-travel,4,Yes,3,2,4,not rated,1,2.0,1983,42,M,married,4,other,7,15.0,12,2,11
60,61,No,2,laboratory technician,research & development,4928.33,59140.0,16,3,0,76.27125,610.17,12813.67,Full Time,No,non-travel,5,Yes,4,3,2,3.0,4,4.0,1987,38,M,single,2,other,8,16.0,13,3,7
61,62,No,2,research scientist,research & development,4492.84,53914.11,15,2,2,69.5325,556.26,11681.39,Full Time,Yes,non-travel,25,No,2,3,3,3.0,1,3.0,1986,39,F,married,5,other,3,15.0,13,10,7
62,63,No,2,research scientist,research & development,5538.33,66460.0,13,3,0,85.7125,685.7,14399.67,Full Time,,non-travel,6,Yes,2,1,4,3.0,2,3.0,1988,37,M,nan,4,other,1,,17,11,8
63,64,No,2,healthcare representative,research & development,4492.84,53914.11,23,2,1,69.5325,556.26,11681.39,Part Time,No,travel_frequently,6,No,3,3,4,4.0,3,1.0,1990,35,M,divorced,3,life sciences,3,15.0,13,4,7
64,65,No,4,manufacturing director,research & development,11644.17,139730.0,18,2,1,180.2075,1441.66,30274.83,Full Time,Yes,travel_rarely,24,No,4,3,3,3.0,4,3.0,1973,52,M,married,3,other,3,22.0,12,1,5
65,66,No,3,healthcare representative,research & development,8339.32,100071.84,14,3,0,129.06125,1032.49,21682.23,Part Time,,travel_rarely,4,Yes,3,2,3,not rated,2,3.0,1975,50,M,single,4,other,7,27.0,15,4,8
66,67,No,4,sales executive,sales,11100.0,133200.0,18,2,1,171.78625,1374.29,28860.0,Full Time,,travel_rarely,28,Yes,4,4,4,3.0,3,3.0,1979,46,F,married,3,other,3,,12,11,11
67,68,No,2,research scientist,research & development,4492.84,53914.11,25,3,0,69.5325,556.26,11681.39,Part Time,,travel_rarely,29,Yes,4,3,4,4.0,2,3.0,1979,46,M,single,4,other,1,,20,13,17
68,69,No,2,healthcare representative,research & development,4492.84,53914.11,20,0,3,69.5325,556.26,11681.39,Part Time,No,non-travel,25,Yes,2,4,3,4.0,2,3.0,1983,42,F,nan,1,other,5,15.0,12,11,8
69,70,No,2,healthcare representative,research & development,5572.5,66870.0,11,2,0,86.24125,689.93,14488.5,Full Time,,travel_rarely,2,Yes,3,3,4,3.0,4,4.0,1989,36,F,single,4,other,1,14.0,14,4,11
70,71,No,2,healthcare representative,research & development,4492.84,53914.11,12,5,1,69.5325,556.26,11681.39,Part Time,,non-travel,8,Yes,3,3,3,3.0,4,3.0,1988,37,F,nan,4,other,1,,14,2,9
71,72,No,3,research director,research & development,8339.32,100071.84,15,3,3,129.06125,1032.49,21682.23,Part Time,No,non-travel,17,No,4,2,1,3.0,3,3.0,1973,52,F,nan,5,life sciences,5,,14,1,11
72,73,No,4,healthcare representative,research & development,12783.92,153407.07,19,3,1,197.84625,1582.77,33238.2,Full Time,,non-travel,6,Yes,3,2,3,3.0,2,3.0,1974,51,F,nan,1,life sciences,2,,15,2,12
73,74,No,2,research scientist,research & development,3945.83,47350.0,15,4,2,61.06625,488.53,10259.17,Part Time,No,travel_frequently,1,Yes,4,3,4,3.0,4,,1985,40,M,nan,3,life sciences,7,19.0,13,2,9
74,75,No,1,laboratory technician,research & development,2342.59,28111.13,18,6,3,36.255,290.04,6090.75,Part Time,No,non-travel,21,Yes,2,4,2,3.0,4,,1990,35,M,nan,3,other,1,14.0,14,2,13
75,76,No,3,manufacturing director,research & development,8339.32,100071.84,12,4,1,129.06125,1032.49,21682.23,Part Time,Yes,travel_rarely,4,Yes,3,2,2,not rated,3,3.0,1976,49,F,divorced,3,life sciences,8,,22,14,10
76,77,No,2,research scientist,research & development,4492.84,53914.08,16,3,1,69.5325,556.26,11681.39,Full Time,,non-travel,8,No,4,2,2,3.0,3,3.0,1985,40,F,divorced,3,other,1,20.0,20,0,7
77,78,No,3,research director,research & development,8339.32,100071.84,25,2,1,129.06125,1032.49,21682.23,Part Time,Yes,travel_rarely,10,Yes,3,4,4,4.0,1,3.0,1986,39,F,nan,3,life sciences,1,16.0,16,6,8
78,79,No,2,healthcare representative,research & development,4492.84,53914.11,19,3,3,69.5325,556.26,11681.39,Part Time,No,non-travel,2,Yes,3,2,4,not rated,1,3.0,1993,32,M,married,3,other,1,11.0,11,10,8
79,80,No,4,sales executive,sales,11560.0,138720.0,13,1,0,178.905,1431.24,30056.0,Full Time,,travel_rarely,18,Yes,4,3,3,3.0,3,2.0,1965,60,M,single,4,other,0,38.0,37,1,8
80,81,No,3,manager,general,8339.32,100071.84,12,6,0,129.06125,1032.49,21682.23,Full Time,,travel_rarely,5,No,3,2,1,3.0,4,3.0,1989,36,F,single,3,other,2,14.0,11,5,8
81,82,Yes,3,healthcare representative,research & development,8339.32,100071.84,12,3,1,129.06125,1032.49,21682.23,Part Time,,travel_rarely,23,Yes,4,3,4,3.0,4,2.0,1965,60,F,married,4,medical,1,40.0,40,15,6
82,83,No,3,sales executive,sales,8339.32,100071.84,12,6,2,129.06125,1032.49,21682.23,Full Time,,non-travel,3,Yes,1,3,3,3.0,3,2.0,1985,40,M,divorced,3,life sciences,0,,16,5,13
83,84,No,3,sales executive,sales,8339.32,100071.84,14,5,1,129.06125,1032.49,21682.23,Part Time,,travel_frequently,1,Yes,2,3,4,3.0,4,3.0,1994,31,F,married,1,other,1,11.0,11,4,1
84,85,No,5,manager,general,15870.83,190450.0,14,2,0,245.62,1964.96,41264.17,Full Time,,travel_rarely,1,Yes,4,3,1,3.0,3,3.0,1968,57,M,single,3,medical,0,37.0,36,4,13
85,86,No,4,manager,general,13345.83,160149.96,19,2,0,206.5425,1652.34,34699.17,Full Time,,non-travel,10,Yes,4,3,2,3.0,2,3.0,1982,43,M,nan,4,other,1,,22,0,4
86,87,No,3,healthcare representative,research & development,8010.83,96130.0,17,5,3,123.9775,991.82,20828.17,Part Time,No,travel_rarely,1,No,3,4,4,not rated,1,2.0,1984,41,M,nan,3,other,0,19.0,18,3,7
87,88,No,3,research director,research & development,9591.67,115100.0,14,3,1,148.4425,1187.54,24938.33,Full Time,,non-travel,15,Yes,3,2,4,3.0,2,3.0,1985,40,M,nan,2,life sciences,0,,11,2,9
88,89,No,4,research director,research & development,12783.92,153407.07,11,3,1,197.84625,1582.77,33238.2,Full Time,No,non-travel,12,Yes,1,2,2,3.0,3,,1980,45,M,nan,3,other,1,,25,3,9
89,90,No,2,manufacturing director,research & development,3588.33,43059.96,12,5,1,55.53375,444.27,9329.67,Full Time,No,non-travel,30,Yes,2,3,1,3.0,2,1.0,1992,33,F,married,2,other,1,13.0,13,3,12
90,91,No,4,manager,research & development,14205.0,170460.0,15,2,1,219.83875,1758.71,36933.0,Full Time,No,travel_rarely,27,Yes,2,2,3,3.0,2,3.0,1973,52,M,unknown,4,life sciences,0,28.0,27,15,7
91,92,No,3,manufacturing director,research & development,8339.32,100071.84,16,2,0,129.06125,1032.49,21682.23,Part Time,No,non-travel,25,No,4,2,2,not rated,1,3.0,1988,37,M,married,3,technical degree,3,,13,4,8
92,93,No,2,manufacturing director,research & development,4222.5,50670.0,19,3,0,65.34875,522.79,10978.5,Full Time,Yes,non-travel,16,Yes,3,4,3,3.0,3,,1976,49,M,nan,4,other,1,20.0,19,2,7
93,94,No,3,healthcare representative,research & development,8339.32,100071.84,11,3,1,129.06125,1032.49,21682.23,Part Time,Yes,non-travel,25,Yes,3,3,3,not rated,3,2.0,1988,37,F,divorced,4,other,1,,16,10,1
94,95,No,3,healthcare representative,research & development,8339.32,100071.84,20,6,1,129.06125,1032.49,21682.23,Part Time,,travel_rarely,20,Yes,1,3,4,4.0,4,3.0,1983,42,M,married,4,other,4,14.0,11,11,1
95,96,No,2,sales executive,sales,4492.84,53914.11,13,2,1,69.5325,556.26,11681.39,Part Time,,non-travel,9,No,2,2,3,3.0,4,3.0,1978,47,F,married,4,life sciences,1,15.0,15,4,12
96,97,No,1,research scientist,research & development,2342.59,28111.13,13,5,1,36.255,290.04,6090.75,Full Time,,non-travel,9,No,1,3,4,3.0,2,3.0,1990,35,M,married,3,medical,0,15.0,14,4,10
97,98,No,1,research scientist,research & development,3076.67,36920.0,12,2,0,47.615,380.92,7999.33,Full Time,No,travel_frequently,3,No,3,3,2,3.0,3,2.0,1987,38,M,married,3,other,1,12.0,11,0,7
98,99,Yes,5,manager,general,15943.72,191324.62,16,2,0,246.7475,1973.98,41453.67,Full Time,Yes,non-travel,13,Yes,1,1,2,3.0,1,3.0,1978,47,F,nan,3,marketing,2,26.0,24,1,11
99,100,No,5,manager,general,16539.17,198470.0,24,5,1,255.96375,2047.71,43001.83,Full Time,Yes,travel_frequently,27,No,2,3,2,not rated,1,2.0,1972,53,M,nan,3,other,4,,29,11,10
100,101,No,1,sales representative,sales,1923.33,23080.0,25,4,1,29.76625,238.13,5000.67,Part Time,Yes,travel_rarely,7,No,2,3,3,4.0,2,3.0,1989,36,M,nan,2,technical degree,0,12.0,11,5,7
101,102,No,4,research director,research & development,12783.92,153407.07,24,3,1,197.84625,1582.77,33238.2,Full Time,No,travel_rarely,15,Yes,3,2,3,4.0,1,3.0,1980,45,M,nan,2,other,1,,14,6,11
102,103,No,2,laboratory technician,research & development,4492.84,53914.11,14,3,1,69.5325,556.26,11681.39,Part Time,No,non-travel,5,No,2,2,4,3.0,3,,1989,36,M,nan,2,medical,1,,15,4,13
103,104,No,1,human resources,human resources,2342.59,28111.13,13,3,3,36.255,290.04,6090.75,Part Time,No,non-travel,2,Yes,1,3,2,3.0,4,3.0,1985,40,M,divorced,3,other,5,13.0,11,3,8
104,105,No,5,research director,research & development,15943.72,191324.62,12,3,0,246.7475,1973.98,41453.67,Full Time,No,non-travel,10,No,4,2,2,3.0,4,3.0,1975,50,M,nan,3,other,4,29.0,22,12,9
105,106,No,2,research scientist,research & development,4789.17,57470.0,15,3,0,74.1175,592.94,12451.83,Full Time,Yes,non-travel,22,No,3,2,4,3.0,2,3.0,1989,36,M,married,4,other,1,16.0,15,6,11
106,107,No,3,sales executive,sales,8685.0,104220.0,19,3,2,134.41125,1075.29,22581.0,Full Time,No,travel_rarely,31,Yes,3,3,4,3.0,3,3.0,1991,34,F,nan,4,other,1,14.0,14,5,7
107,108,No,3,manufacturing director,research & development,8339.32,100071.84,11,1,1,129.06125,1032.49,21682.23,Full Time,No,travel_rarely,21,No,2,4,1,3.0,3,3.0,1994,31,F,divorced,4,life sciences,1,10.0,10,8,8
108,109,No,3,healthcare representative,research & development,8339.32,100071.84,13,5,1,129.06125,1032.49,21682.23,Full Time,Yes,non-travel,1,No,3,2,1,3.0,3,2.0,1977,48,M,married,3,medical,2,21.0,10,9,5
109,110,No,2,human resources,human resources,5289.17,63470.0,19,2,0,81.85625,654.85,13751.83,Full Time,Yes,non-travel,9,No,3,3,4,3.0,4,1.0,1993,32,M,married,3,other,0,,11,4,7
110,111,No,2,laboratory technician,research & development,1956.67,23480.0,18,2,1,30.28125,242.25,5087.33,Part Time,No,non-travel,9,Yes,2,3,2,3.0,3,,1978,47,M,nan,3,life sciences,8,20.0,17,0,15
111,112,No,3,sales executive,sales,8339.32,100071.84,12,2,1,129.06125,1032.49,21682.23,Part Time,No,travel_rarely,5,Yes,2,3,4,3.0,3,3.0,1993,32,F,nan,3,other,2,,10,7,4
112,113,No,2,laboratory technician,research & development,2560.0,30720.0,11,4,2,39.61875,316.95,6656.0,Part Time,No,non-travel,9,Yes,3,3,1,not rated,3,3.0,1993,32,M,nan,3,other,1,12.0,12,6,10
113,114,No,2,manufacturing director,research & development,4492.84,53914.08,17,2,0,69.5325,556.26,11681.39,Full Time,,travel_frequently,29,No,4,2,3,3.0,3,2.0,1989,36,M,married,1,other,1,10.0,10,1,9
114,115,No,3,research director,research & development,10408.33,124900.0,16,5,2,161.08125,1288.65,27061.67,Full Time,No,travel_rarely,8,No,2,2,2,3.0,4,1.0,1972,53,M,married,4,life sciences,5,16.0,10,4,7
115,116,No,2,manufacturing director,research & development,4492.84,53914.11,13,3,1,69.5325,556.26,11681.39,Part Time,,non-travel,39,Yes,3,2,1,3.0,2,3.0,1989,36,M,nan,4,life sciences,6,13.0,11,5,9
116,117,No,3,sales executive,sales,6683.33,80200.0,15,3,2,103.4325,827.46,17376.67,Part Time,,travel_rarely,16,Yes,3,3,2,3.0,3,2.0,1988,37,M,married,3,other,0,12.0,11,6,9
117,118,No,3,laboratory technician,research & development,8339.32,100071.84,18,2,1,129.06125,1032.49,21682.23,Part Time,,travel_frequently,7,Yes,1,3,1,3.0,1,3.0,1978,47,M,nan,3,life sciences,1,24.0,24,9,11
118,119,No,4,manager,general,14223.33,170680.0,14,3,0,220.1225,1760.98,36980.67,Full Time,,non-travel,10,Yes,3,3,1,not rated,4,3.0,1984,41,M,married,1,other,1,21.0,21,11,10
119,120,No,3,manufacturing director,research & development,7452.5,89430.0,24,2,1,115.33625,922.69,19376.5,Part Time,No,non-travel,7,No,3,2,3,4.0,1,3.0,1992,33,F,married,2,other,1,10.0,10,8,9
120,121,No,5,manager,research & development,16060.0,192720.0,15,2,1,248.5475,1988.38,41756.0,Full Time,,non-travel,7,Yes,3,2,4,3.0,1,3.0,1984,41,M,married,2,other,1,,21,13,3
121,122,No,2,research scientist,research & development,4492.84,53914.11,14,3,2,69.5325,556.26,11681.39,Part Time,No,travel_rarely,8,Yes,4,3,4,3.0,1,3.0,1978,47,M,nan,4,other,9,12.0,10,9,8
122,123,No,2,sales executive,sales,4492.84,53914.08,13,2,3,69.5325,556.26,11681.39,Full Time,,travel_rarely,5,Yes,4,2,3,3.0,3,3.0,1993,32,F,nan,3,marketing,1,10.0,10,1,2
123,124,No,3,manufacturing director,research & development,8339.32,100071.84,14,2,0,129.06125,1032.49,21682.23,Part Time,,non-travel,7,No,3,3,4,3.0,3,2.0,1992,33,F,nan,4,medical,1,11.0,11,4,10
124,125,No,3,sales executive,sales,8339.32,100071.84,11,2,1,129.06125,1032.49,21682.23,Part Time,No,non-travel,3,Yes,1,2,4,3.0,1,3.0,1987,38,M,married,4,medical,4,16.0,13,1,12
125,126,No,3,sales executive,sales,8339.32,100071.84,13,2,2,129.06125,1032.49,21682.23,Part Time,,travel_rarely,2,Yes,2,2,3,3.0,2,3.0,1987,38,M,married,2,other,1,10.0,10,9,0
126,127,No,4,manager,general,12783.92,153407.07,23,2,0,197.84625,1582.77,33238.2,Full Time,No,travel_rarely,18,Yes,1,3,2,4.0,4,3.0,1968,57,F,single,5,other,3,37.0,10,7,7
