,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,roledepartament,remotework
37,38,No,,331.19, research & development ,6,3,life sciences,38,4,M,,3,1, laboratory technician ,4,Married,2675.0,6955.0,0,,11,3.0,3,Full Time,1,16.0,4,3.0,15,10,11,1987,32100.0, laboratory technician  -  research & development ,Yes
38,62,No,travel_frequently,1059.19,no data,28,3,no data,39,3,F,,2,3, sales executive ,1,Married,8555.0,22243.0,4,No,19,3.0,4,Full Time,0,22.0,5,4.0,18,13,11,1963,102660.0,no data,Yes
39,42,No,travel_frequently,1080.75,no data,5,4,no data,40,4,M,,2,3, sales executive ,1,Married,8729.17,22695.83,5,Yes,21,4.0,3,Full Time,1,20.0,2,3.0,18,1,12,1983,104750.0,no data,No
40,34,No,travel_rarely,635.76,no data,4,3,no data,41,3,F,,2,2, manufacturing director ,3,Married,,13351.0,1,No,12,3.0,3,Full Time,1,14.0,3,3.0,14,6,8,1991,61620.0,no data,No
41,43,No,travel_rarely,487.09,no data,-35,3,no data,42,3,M,60.89,3,1, laboratory technician ,1,Single,3934.17,10228.83,2,Yes,13,,3,Full Time,0,20.0,3,3.0,18,2,17,1982,47210.0,no data,Yes
42,55,No,,1582.77,no data,2,2,medical,43,3,M,,3,4, manager ,3,Divorced,12783.92,33238.2,6,No,13,3.0,3,Full Time,1,22.0,3,4.0,17,15,2,1970,153407.07,no data,No
43,38,Yes,travel_rarely,290.04,no data,16,4,no data,44,3,F,36.25,4,1, laboratory technician ,1,Single,,6090.75,1,,16,3.0,3,Part Time,0,18.0,1,3.0,17,15,14,1987,28111.13,no data,Yes
44,48,No,,476.15,no data,8,4,life sciences,45,4,F,,2,2, research scientist ,1,Divorced,3845.83,9999.17,8,Yes,23,4.0,1,Part Time,3,,2,3.0,16,1,7,1977,46150.0,no data,No
45,40,No,travel_rarely,556.26,no data,1,4,no data,46,4,M,,3,2, sales executive ,2,Married,4492.84,11681.39,0,No,15,3.0,1,,2,16.0,3,,15,5,8,1985,53914.11,no data,Yes
46,53,No,,1032.49,no data,1,4,no data,47,1,F,,2,3, healthcare representative ,1,Single,8339.32,21682.23,3,,20,4.0,3,Part Time,0,23.0,1,2.0,13,12,8,1972,100071.84,no data,Yes
47,45,No,,1749.74,no data,26,2,no data,48,3,M,,3,4, manager ,4,Married,14132.5,36744.5,1,Yes,12,3.0,4,Full Time,2,25.0,3,4.0,25,4,12,1980,169590.0,no data,Yes
48,39,No,,290.04,no data,1,3,life sciences,49,4,F,,3,1, research scientist ,4,Single,,6090.75,1,No,12,3.0,2,Part Time,0,,3,3.0,17,5,7,1986,28111.13,no data,Yes
49,34,No,travel_rarely,556.26,no data,8,2,technical degree,50,3,F,,2,2, sales executive ,2,Married,,11681.39,1,Yes,11,3.0,4,Part Time,0,,2,3.0,13,11,9,1991,53914.11,no data,Yes
50,40,No,,1032.49,no data,1,3,no data,51,4,F,,3,3, research director ,1,Married,8339.32,21682.23,1,,13,3.0,2,Part Time,1,15.0,3,3.0,15,5,11,1985,100071.84,no data,No
51,48,No,,1582.77,no data,3,3,life sciences,52,3,F,,3,4, manager ,2,,12783.92,33238.2,8,No,12,3.0,4,Full Time,1,23.0,2,4.0,13,5,1,1977,153407.07,no data,Yes
52,37,Yes,travel_rarely,1063.32,no data,10,3,medical,53,4,M,,2,3, sales executive ,1,Married,8588.33,22329.67,9,,17,3.0,3,,0,15.0,3,,13,6,0,1988,,no data,No
53,45,No,,1973.98,no data,6,3,medical,54,1,F,,2,5, manager ,3,Married,15943.72,41453.67,7,No,13,3.0,4,,0,21.0,2,3.0,16,6,14,1980,,no data,Yes
54,58,No,non-travel,556.26,no data,1,4,life sciences,55,3,M,,3,2, healthcare representative ,3,Divorced,4492.84,11681.39,1,No,21,,1,,1,,2,2.0,13,1,9,1967,,no data,Yes
55,38,No,non-travel,557.76,no data,15,4,marketing,56,4,M,,1,2, sales executive ,4,divorced,4505.0,11713.0,1,No,24,4.0,1,Full Time,1,,4,2.0,15,11,11,1987,54060.0,no data,Yes
56,40,No,,556.26,no data,6,3,medical,57,2,F,,1,2, research scientist ,4,,,11681.39,7,,12,3.0,4,Part Time,3,17.0,3,3.0,13,1,9,1985,53914.11,no data,Yes
57,51,No,,556.26,no data,-26,4,medical,58,3,F,69.53,3,2, manufacturing director ,1,,,11681.39,1,No,14,3.0,3,Part Time,0,16.0,2,2.0,15,5,11,1974,53914.11,no data,No
58,41,No,travel_rarely,608.94,no data,4,4,life sciences,59,4,F,,2,2, sales executive ,3,Married,4918.33,12787.67,4,,14,3.0,3,Full Time,1,17.0,1,4.0,15,5,9,1984,59020.0,no data,Yes
59,42,No,,1119.96,no data,4,4,no data,60,3,M,140.0,2,3, sales executive ,4,Married,,23519.17,7,No,11,,1,Full Time,1,15.0,2,2.0,12,2,11,1983,108550.0,no data,Yes
60,38,No,,610.17,no data,5,2,no data,61,4,M,,3,2, laboratory technician ,2,Single,4928.33,12813.67,8,No,16,3.0,4,Full Time,0,16.0,3,4.0,13,3,7,1987,59140.0,no data,Yes
61,39,No,,556.26,no data,25,5,no data,62,2,F,,3,2, research scientist ,3,Married,,11681.39,3,Yes,15,3.0,1,,2,15.0,2,3.0,13,10,7,1986,53914.11,no data,No
62,37,No,,685.7,no data,6,4,no data,63,2,M,,1,2, research scientist ,4,,5538.33,14399.67,1,,13,3.0,2,Full Time,0,,3,3.0,17,11,8,1988,66460.0,no data,Yes
63,35,No,travel_frequently,556.26,no data,6,3,life sciences,64,3,M,,3,2, healthcare representative ,4,Divorced,4492.84,11681.39,3,No,23,4.0,3,Part Time,1,15.0,2,1.0,13,4,7,1990,53914.11,no data,No
64,52,No,travel_rarely,1441.66, research & development ,24,3,no data,65,4,M,,3,4, manufacturing director ,3,Married,,30274.83,3,Yes,18,3.0,4,Full Time,1,22.0,2,3.0,12,1,5,1973,139730.0, manufacturing director  -  research & development ,No
65,50,No,travel_rarely,1032.49,no data,4,4,no data,66,3,M,,2,3, healthcare representative ,3,Single,,21682.23,7,,14,,2,Part Time,0,27.0,3,3.0,15,4,8,1975,100071.84,no data,Yes
66,46,No,travel_rarely,1374.29, sales ,28,3,no data,67,4,F,,4,4, sales executive ,4,Married,11100.0,28860.0,3,,18,3.0,3,,1,,2,3.0,12,11,11,1979,, sales executive  -  sales ,Yes
67,46,No,travel_rarely,556.26,no data,29,4,no data,68,4,M,69.53,3,2, research scientist ,4,Single,,11681.39,1,,25,4.0,2,Part Time,0,,3,3.0,20,13,17,1979,53914.11,no data,Yes
68,42,No,,556.26,no data,-25,1,no data,69,2,F,,4,2, healthcare representative ,3,,,11681.39,5,No,20,4.0,2,Part Time,3,15.0,0,3.0,12,11,8,1983,53914.11,no data,Yes
69,36,No,travel_rarely,689.93,no data,2,4,no data,70,3,F,86.24,3,2, healthcare representative ,4,Single,5572.5,14488.5,1,,11,3.0,4,Full Time,0,14.0,2,4.0,14,4,11,1989,66870.0,no data,Yes
70,37,No,non-travel,556.26, research & development ,8,4,no data,71,3,F,,3,2, healthcare representative ,3,,4492.84,11681.39,1,,12,3.0,4,Part Time,1,,5,3.0,14,2,9,1988,53914.11, healthcare representative  -  research & development ,Yes
71,52,No,,1032.49,no data,17,5,life sciences,72,4,F,,2,3, research director ,1,,,21682.23,5,No,15,3.0,3,Part Time,3,,3,3.0,14,1,11,1973,100071.84,no data,No
72,51,No,,1582.77,no data,6,1,life sciences,73,3,F,197.85,2,4, healthcare representative ,3,,12783.92,33238.2,2,,19,3.0,2,Full Time,1,,3,3.0,15,2,12,1974,153407.07,no data,Yes
73,40,No,travel_frequently,488.53,no data,1,3,life sciences,74,4,M,61.07,3,2, research scientist ,4,,,10259.17,7,No,15,3.0,4,Part Time,2,19.0,4,,13,2,9,1985,47350.0,no data,Yes
74,35,No,,290.04,no data,21,3,no data,75,2,M,,4,1, laboratory technician ,2,,,6090.75,1,No,18,3.0,4,Part Time,3,14.0,6,,14,2,13,1990,28111.13,no data,Yes
75,49,No,travel_rarely,1032.49,no data,4,3,life sciences,76,3,F,,2,3, manufacturing director ,2,Divorced,8339.32,21682.23,8,Yes,12,,3,Part Time,1,,4,3.0,22,14,10,1976,100071.84,no data,Yes
76,40,No,,556.26, research & development ,8,3,no data,77,4,F,,2,2, research scientist ,2,Divorced,4492.84,11681.39,1,,16,3.0,3,,1,20.0,3,3.0,20,0,7,1985,, research scientist  -  research & development ,No
77,39,No,travel_rarely,1032.49,no data,10,3,life sciences,78,3,F,,4,3, research director ,4,,8339.32,21682.23,1,Yes,25,4.0,1,Part Time,1,16.0,2,3.0,16,6,8,1986,100071.84,no data,Yes
78,32,No,,556.26,no data,2,3,no data,79,3,M,,2,2, healthcare representative ,4,Married,,11681.39,1,No,19,,1,Part Time,3,11.0,3,3.0,11,10,8,1993,53914.11,no data,Yes
79,60,No,travel_rarely,1431.24,no data,-18,4,no data,80,4,M,,3,4, sales executive ,3,Single,11560.0,30056.0,0,,13,3.0,3,Full Time,0,38.0,1,2.0,37,1,8,1965,138720.0,no data,Yes
80,36,No,travel_rarely,1032.49,no data,5,3,no data,81,3,F,,2,3, manager ,1,Single,8339.32,21682.23,2,,12,3.0,4,,0,14.0,6,3.0,11,5,8,1989,,no data,No
81,60,Yes,travel_rarely,1032.49,no data,23,4,medical,82,4,F,,3,3, healthcare representative ,4,Married,8339.32,21682.23,1,,12,3.0,4,Part Time,1,40.0,3,2.0,40,15,6,1965,100071.84,no data,Yes
82,40,No,,1032.49,no data,3,3,life sciences,83,1,M,,3,3, sales executive ,3,Divorced,8339.32,21682.23,0,,12,3.0,3,,2,,6,2.0,16,5,13,1985,,no data,Yes
83,31,No,travel_frequently,1032.49,no data,1,1,no data,84,2,F,,3,3, sales executive ,4,Married,8339.32,21682.23,1,,14,3.0,4,Part Time,1,11.0,5,3.0,11,4,1,1994,100071.84,no data,Yes
84,57,No,travel_rarely,1964.96,no data,1,3,medical,85,4,M,245.62,3,5, manager ,1,Single,15870.83,41264.17,0,,14,3.0,3,Full Time,0,37.0,2,3.0,36,4,13,1968,190450.0,no data,Yes
85,43,No,,1652.34,no data,-10,4,no data,86,4,M,,3,4, manager ,2,,13345.83,34699.17,1,,19,3.0,2,,0,,2,3.0,22,0,4,1982,,no data,Yes
86,41,No,travel_rarely,991.82, research & development ,1,3,no data,87,3,M,123.98,4,3, healthcare representative ,4,,8010.83,20828.17,0,No,17,,1,Part Time,3,19.0,5,2.0,18,3,7,1984,96130.0, healthcare representative  -  research & development ,No
87,40,No,,1187.54,no data,15,2,life sciences,88,3,M,148.44,2,3, research director ,4,,,24938.33,0,,14,3.0,2,Full Time,1,,3,3.0,11,2,9,1985,115100.0,no data,Yes
88,45,No,,1582.77,no data,12,3,no data,89,1,M,,2,4, research director ,2,,12783.92,33238.2,1,No,11,3.0,3,Full Time,1,,3,,25,3,9,1980,153407.07,no data,Yes
89,33,No,,444.27,no data,-30,2,no data,90,2,F,,3,2, manufacturing director ,1,Married,3588.33,9329.67,1,No,12,3.0,2,,1,13.0,5,1.0,13,3,12,1992,,no data,Yes
90,52,No,travel_rarely,1758.71, research & development ,-27,4,life sciences,91,2,M,,2,4, manager ,3,Marreid,14205.0,36933.0,0,No,15,3.0,2,Full Time,1,28.0,2,3.0,27,15,7,1973,170460.0, manager  -  research & development ,Yes
91,37,No,,1032.49,no data,25,3,technical degree,92,4,M,129.06,2,3, manufacturing director ,2,Married,8339.32,21682.23,3,No,16,,1,Part Time,0,,2,3.0,13,4,8,1988,100071.84,no data,No
92,49,No,,522.79,no data,16,4,no data,93,3,M,,4,2, manufacturing director ,3,,4222.5,10978.5,1,Yes,19,3.0,3,,0,20.0,3,,19,2,7,1976,,no data,Yes
93,37,No,,1032.49, research & development ,25,4,no data,94,3,F,129.06,3,3, healthcare representative ,3,Divorced,8339.32,21682.23,1,Yes,11,,3,Part Time,1,,3,2.0,16,10,1,1988,100071.84, healthcare representative  -  research & development ,Yes
94,42,No,travel_rarely,1032.49,no data,20,4,no data,95,1,M,129.06,3,3, healthcare representative ,4,Married,,21682.23,4,,20,4.0,4,Part Time,1,14.0,6,3.0,11,11,1,1983,100071.84,no data,Yes
95,47,No,,556.26, sales ,9,4,life sciences,96,2,F,,2,2, sales executive ,3,Married,4492.84,11681.39,1,,13,3.0,4,Part Time,1,15.0,2,3.0,15,4,12,1978,53914.11, sales executive  -  sales ,No
96,35,No,,290.04, research & development ,9,3,medical,97,1,M,,3,1, research scientist ,4,Married,,6090.75,0,,13,3.0,2,,1,15.0,5,3.0,14,4,10,1990,28111.13, research scientist  -  research & development ,No
97,38,No,travel_frequently,380.92,no data,3,3,no data,98,3,M,,3,1, research scientist ,2,Married,3076.67,7999.33,1,No,12,3.0,3,Full Time,0,12.0,2,2.0,11,0,7,1987,36920.0,no data,No
98,47,Yes,,1973.98,no data,-13,3,marketing,99,1,F,246.75,1,5, manager ,2,,15943.72,41453.67,2,Yes,16,3.0,1,Full Time,0,26.0,2,3.0,24,1,11,1978,191324.62,no data,Yes
99,53,No,travel_frequently,2047.71,no data,-27,3,no data,100,2,M,255.96,3,5, manager ,2,,,43001.83,4,Yes,24,,1,Full Time,1,,5,2.0,29,11,10,1972,198470.0,no data,No
100,36,No,travel_rarely,238.13,no data,7,2,technical degree,101,2,M,,3,1, sales representative ,3,,,5000.67,0,Yes,25,4.0,2,Part Time,1,12.0,4,3.0,11,5,7,1989,23080.0,no data,No
101,45,No,travel_rarely,1582.77, research & development ,15,2,no data,102,3,M,,2,4, research director ,3,,,33238.2,1,No,24,4.0,1,Full Time,1,,3,3.0,14,6,11,1980,153407.07, research director  -  research & development ,Yes
102,36,No,,556.26,no data,5,2,medical,103,2,M,,2,2, laboratory technician ,4,,4492.84,11681.39,1,No,14,3.0,3,Part Time,1,,3,,15,4,13,1989,53914.11,no data,No
103,40,No,,290.04,no data,2,3,no data,104,1,M,,3,1, human resources ,2,Divorced,2342.59,6090.75,5,No,13,3.0,4,Part Time,3,13.0,3,3.0,11,3,8,1985,28111.13,no data,Yes
104,50,No,,1973.98,no data,10,3,no data,105,4,M,,2,5, research director ,2,,,41453.67,4,No,12,3.0,4,Full Time,0,29.0,3,3.0,22,12,9,1975,191324.62,no data,No
105,36,No,,592.94, research & development ,22,4,other,106,3,M,,2,2, research scientist ,4,Married,4789.17,12451.83,1,Yes,15,3.0,2,Full Time,0,16.0,3,3.0,15,6,11,1989,57470.0, research scientist  -  research & development ,No
106,34,No,travel_rarely,1075.29,no data,-31,4,no data,107,3,F,134.41,3,3, sales executive ,4,,8685.0,22581.0,1,No,19,3.0,3,Full Time,2,14.0,3,3.0,14,5,7,1991,104220.0,no data,Yes
107,31,No,travel_rarely,1032.49,no data,21,4,life sciences,108,2,F,,4,3, manufacturing director ,1,Divorced,8339.32,21682.23,1,No,11,3.0,3,,1,10.0,1,3.0,10,8,8,1994,,no data,No
108,48,No,,1032.49,no data,1,3,medical,109,3,M,,2,3, healthcare representative ,1,Married,,21682.23,2,Yes,13,3.0,3,,1,21.0,5,2.0,10,9,5,1977,100071.84,no data,No
109,32,No,,654.85, human resources ,9,3,no data,110,3,M,,3,2, human resources ,4,Married,5289.17,13751.83,0,Yes,19,3.0,4,Full Time,0,,2,1.0,11,4,7,1993,63470.0, human resources  -  human resources ,No
110,47,No,,242.25,no data,9,3,life sciences,111,2,M,,3,2, laboratory technician ,2,,1956.67,5087.33,8,No,18,3.0,3,Part Time,1,20.0,2,,17,0,15,1978,23480.0,no data,Yes
111,32,No,travel_rarely,1032.49,no data,5,3,no data,112,2,F,129.06,3,3, sales executive ,4,,8339.32,21682.23,2,No,12,3.0,3,Part Time,1,,2,3.0,10,7,4,1993,100071.84,no data,Yes
112,32,No,,316.95,no data,9,3,no data,113,3,M,,3,2, laboratory technician ,1,,,6656.0,1,No,11,,3,Part Time,2,12.0,4,3.0,12,6,10,1993,30720.0,no data,Yes
113,36,No,travel_frequently,556.26,no data,-29,1,no data,114,4,M,,2,2, manufacturing director ,3,Married,4492.84,11681.39,1,,17,3.0,3,,0,10.0,2,2.0,10,1,9,1989,,no data,No
114,53,No,travel_rarely,1288.65,no data,8,4,life sciences,115,2,M,,2,3, research director ,2,Married,10408.33,27061.67,5,No,16,3.0,4,Full Time,2,16.0,5,1.0,10,4,7,1972,124900.0,no data,No
115,36,No,,556.26,no data,-39,4,life sciences,116,3,M,69.53,2,2, manufacturing director ,1,,4492.84,11681.39,6,,13,3.0,2,Part Time,1,13.0,3,3.0,11,5,9,1989,53914.11,no data,Yes
116,37,No,travel_rarely,827.46,no data,16,3,no data,117,3,M,,3,3, sales executive ,2,Married,6683.33,17376.67,0,,15,3.0,3,Part Time,2,12.0,3,2.0,11,6,9,1988,80200.0,no data,Yes
117,47,No,travel_frequently,1032.49,no data,7,3,life sciences,118,1,M,,3,3, laboratory technician ,1,,8339.32,21682.23,1,,18,3.0,1,Part Time,1,24.0,2,3.0,24,9,11,1978,100071.84,no data,Yes
118,41,No,,1760.98,no data,10,1,no data,119,3,M,,3,4, manager ,1,Married,,36980.67,1,,14,,4,Full Time,0,21.0,3,3.0,21,11,10,1984,170680.0,no data,Yes
119,33,No,,922.69,no data,7,2,no data,120,3,F,,2,3, manufacturing director ,3,Married,7452.5,19376.5,1,No,24,4.0,1,Part Time,1,10.0,2,3.0,10,8,9,1992,89430.0,no data,No
120,41,No,,1988.38, research & development ,7,2,no data,121,3,M,,2,5, manager ,4,Married,16060.0,41756.0,1,,15,3.0,1,Full Time,1,,2,3.0,21,13,3,1984,192720.0, manager  -  research & development ,Yes
121,47,No,travel_rarely,556.26,no data,8,4,no data,122,4,M,69.53,3,2, research scientist ,4,,4492.84,11681.39,9,No,14,3.0,1,Part Time,2,12.0,3,3.0,10,9,8,1978,53914.11,no data,Yes
122,32,No,travel_rarely,556.26, sales ,5,3,marketing,123,4,F,,2,2, sales executive ,3,,4492.84,11681.39,1,,13,3.0,3,,3,10.0,2,3.0,10,1,2,1993,, sales executive  -  sales ,Yes
123,33,No,,1032.49,no data,7,4,medical,124,3,F,129.06,3,3, manufacturing director ,4,,8339.32,21682.23,1,,14,3.0,3,Part Time,0,11.0,2,2.0,11,4,10,1992,100071.84,no data,No
124,38,No,,1032.49,no data,3,4,medical,125,1,M,,2,3, sales executive ,4,Married,8339.32,21682.23,4,No,11,3.0,1,Part Time,1,16.0,2,3.0,13,1,12,1987,100071.84,no data,Yes
125,38,No,travel_rarely,1032.49,no data,2,2,no data,126,2,M,,2,3, sales executive ,3,Married,,21682.23,1,,13,3.0,2,Part Time,2,10.0,2,3.0,10,9,0,1987,100071.84,no data,Yes
126,57,No,travel_rarely,1582.77,no data,18,5,no data,127,1,F,197.85,3,4, manager ,2,Single,12783.92,33238.2,3,No,23,4.0,4,Full Time,0,37.0,2,3.0,10,7,7,1968,153407.07,no data,Yes
127,37,No,,556.26,no data,1,3,no data,128,2,M,,3,2, sales executive ,3,,4492.84,11681.39,9,,11,3.0,3,Part Time,0,15.0,2,3.0,11,6,9,1988,53914.11,no data,Yes
128,44,No,travel_rarely,1032.49,no data,24,3,medical,129,4,M,129.06,3,3, manufacturing director ,1,Married,8339.32,21682.23,1,,21,4.0,4,Part Time,1,10.0,5,2.0,10,5,8,1981,100071.84,no data,No
